endstationlatitude,endstationlongitude,endstationid,endstationname,startstationid
40.686312,-73.935775,3052.0,Lewis Ave & Madison St,20568
40.686371,-73.99383324,3298.0,Warren St & Court St,27238
40.686444200000004,-73.98759104,3410.0,Dean St & Hoyt St,20066
40.68650065,-73.96563307,275.0,Washington Ave & Greene Ave,23454
40.686744299999994,-73.99063168,3409.0,Bergen St & Smith St,75097
40.68676793,-73.95928168,120.0,Lexington Ave & Classon Ave,24304
40.68680820503432,-73.98036181926726,3455.0,Schermerhorn St & 3 Ave,10155
40.68683208,-73.9796772,298.0,3 Ave & Schermerhorn St,16326
40.68691865,-73.976682,274.0,Lafayette Ave & Fort Greene Pl,47682
40.686931,-74.016966,3182.0,Yankee Ferry Terminal,22897
40.68753406,-73.97265183,416.0,Cumberland St & Lafayette Ave,33442
40.68763155,-74.0016256,3311.0,Columbia St & Kane St,23585
40.68764484,-73.96968902,420.0,Clermont Ave & Lafayette Ave,21346
40.68807003,-73.98410637,395.0,Bond St & Schermerhorn St,22791
40.6881529,-73.99520919,3408.0,Congress St & Clinton St,30902
40.688226,-73.979382,243.0,Fulton St & Rockwell Pl,42962
40.68833370000001,-73.950916,3055.0,Greene Ave & Nostrand Ave,14662
40.68841742754083,-73.98451656103134,3486.0,Schermerhorn St & Bond St,27636
40.68851534,-73.9647628,399.0,Lafayette Ave & St James Pl,27527
40.68900443,-73.96023854,364.0,Lafayette Ave & Classon Ave,34050
40.68926942,-73.98912867,310.0,State St & Smith St,51220
40.68940747,-73.96885458,258.0,DeKalb Ave & Vanderbilt Ave,37629
40.6894932,-73.942061,3054.0,Greene Ave & Throop Ave,14183
40.68962188790333,-73.98304268717766,3232.0,Bond St & Fulton St,54274
40.68981035,-73.97493121,241.0,DeKalb Ave & S Portland Ave,35060
40.689888,-73.981013,324.0,DeKalb Ave & Hudson Ave,87002
40.6900815,-73.94791500000001,3053.0,Marcy Ave & Lafayette Ave,9504
40.6902375,-73.99203074,3402.0,Court St & State St,53289
40.6906495,-73.95643107,409.0,DeKalb Ave & Skillman St,20841
40.69072549,-73.95133465,3056.0,Kosciuszko St & Nostrand Ave,14053
40.69089272,-73.99612349,157.0,Henry St & Atlantic Ave,54659
40.69102925677968,-73.99183362722397,3242.0,Schermerhorn St & Court St,46407
40.69128258,-73.9452416,3057.0,Kosciuszko St & Tompkins Ave,17810
40.69165183,-73.99997859999999,398.0,Atlantic Ave & Furman St,60734
40.6917823,-73.97372990000001,262.0,Washington Park,27343
40.69196035,-73.96536851,244.0,Willoughby Ave & Hall St,40214
40.69196566,-73.9813018,239.0,Willoughby St & Fleet St,57972
40.69221589,-73.9842844,390.0,Duffield St & Willoughby St,44623
40.69231660719192,-74.01486575603484,3254.0,Soissons Landing,23106
40.69236178,-73.98631746,323.0,Lawrence St & Willoughby St,70030
40.69237074,-73.93705428,3058.0,Lewis Ave & Kosciuszko St,14549
40.69239502,-73.99337909,143.0,Clinton St & Joralemon St,59375
40.692418292578466,-73.98949474096298,3440.0,Fulton St & Adams St,52633
40.69308257,-73.97178913,270.0,Adelphi St & Myrtle Ave,45947
40.693261,-73.968896,366.0,Clinton Ave & Myrtle Ave,59440
40.69327018,-73.97703874,245.0,Myrtle Ave & St Edwards St,17208
40.69331716,-73.95381995,373.0,Willoughby Ave & Walworth St,16012
40.693398200000004,-73.939877,3059.0,Pulaski St & Marcus Garvey Blvd,9251
40.69363137,-73.96223558,354.0,Emerson Pl & Myrtle Ave,34788
40.69383,-73.990539,314.0,Cadman Plaza West & Montague St,34871
40.69425403,-73.94626915,3060.0,Willoughby Ave & Tompkins Ave,13324
40.694281141397326,-73.99230033159256,3246.0,Montague St & Clinton St,13779
40.694528000000005,-73.958089,372.0,Franklin Ave & Myrtle Ave,7631
40.694546087246025,-73.95801365375519,372.0,Franklin Ave & Myrtle Ave,9063
40.69474881,-73.98362464,261.0,Johnson St & Gold St,41208
