startstationname,endstationname,value
Broadway & E 22 St,E 23 St & 1 Ave,6631
DeKalb Ave & S Portland Ave,DeKalb Ave & Hudson Ave,6590
Kent Ave & N 7 St,Milton St & Franklin St,6556
Cadman Plaza E & Tillary St,Centre St & Chambers St,6518
5 Ave & E 73 St,Central Park West & W 72 St,6513
Broadway & W 36 St,Pershing Square North,6490
West Thames St,Vesey Pl & River Terrace,6488
E 32 St & Park Ave,1 Ave & E 30 St,6473
W 22 St & 8 Ave,W 22 St & 10 Ave,6435
Atlantic Ave & Furman St,Old Fulton St,6420
Grand Army Plaza & Central Park S,Central Park West & W 72 St,6407
9 Ave & W 45 St,8 Ave & W 33 St,6395
Pier 40 - Hudson River Park,12 Ave & W 40 St,6390
Bus Slip & State St,South End Ave & Liberty St,6379
South End Ave & Liberty St,West St & Chambers St,6308
8 Ave & W 52 St,W 53 St & 10 Ave,6298
Greenwich St & W Houston St,West St & Chambers St,6296
E 47 St & Park Ave,W 49 St & 8 Ave,6260
Henry St & Grand St,Norfolk St & Broome St,6250
5 Ave & E 73 St,5 Ave & E 88 St,6233
West St & Chambers St,Washington St & Gansevoort St,6174
W 20 St & 11 Ave,W 20 St & 7 Ave,6168
Central Park North & Adam Clayton Powell Blvd,Central Park S & 6 Ave,6149
6 Ave & Canal St,Barclay St & Church St,6140
E 48 St & 5 Ave,W 49 St & 8 Ave,6137
E 33 St & 5 Ave,Pershing Square North,6137
Broadway & W 41 St,Pershing Square North,6127
5 Ave & E 78 St,5 Ave & E 78 St,6115
E 17 St & Broadway,1 Ave & E 18 St,6109
Broadway & W 29 St,Broadway & E 22 St,6107
46 Ave & 5 St,45 Rd & 11 St,6074
Driggs Ave & Lorimer St,N 8 St & Driggs Ave,6073
E 32 St & Park Ave,E 33 St & 2 Ave,6069
Clark St & Henry St,Henry St & Atlantic Ave,6057
Grand Army Plaza & Central Park S,Broadway & W 60 St,6048
Carmine St & 6 Ave,W 21 St & 6 Ave,6036
Vesey Pl & River Terrace,Little West St & 1 Pl,6033
1 Ave & E 68 St,1 Ave & E 78 St,6028
Central Park West & W 72 St,Grand Army Plaza & Central Park S,6022
Pershing Square North,E 33 St & 5 Ave,5979
Pershing Square North,E 17 St & Broadway,5979
Columbus Ave & W 72 St,W 63 St & Broadway,5977
Berry St & N 8 St,Milton St & Franklin St,5965
Carmine St & 6 Ave,Barrow St & Hudson St,5963
Central Park West & W 68 St,Central Park West & W 68 St,5963
E 17 St & Broadway,Pershing Square North,5963
W 70 St & Amsterdam Ave,Riverside Blvd & W 67 St,5938
Barclay St & Church St,6 Ave & Canal St,5902
Milton St & Franklin St,Berry St & N 8 St,5887
W 41 St & 8 Ave,11 Ave & W 41 St,5868
Banker St & Meserole Ave,Berry St & N 8 St,5867
Broadway & Berry St,N 6 St & Bedford Ave,5864
Old Fulton St,Old Fulton St,5857
