latitude,longitude,stationname
40.744023,-73.976056,E 33 St & 2 Ave
40.74765947,-73.98490707,E 33 St & 5 Ave
40.77801203,-73.95407149,E 85 St & 3 Ave
40.77536905,-73.94803392,E 85 St & York Ave
40.715143,-73.944507,Graham Ave & Conselyea St
40.7643971,-73.97371465,Grand Army Plaza & Central Park S
40.735238,-74.000271,Greenwich Ave & Charles St
40.69089272,-73.99612349,Henry St & Atlantic Ave
40.714215,-73.981346,Henry St & Grand St
40.72036775298455,-73.96165072917937,Kent Ave & N 7 St
40.73020660529954,-73.99102628231049,Lafayette St & E 8 St
40.70569254,-74.01677685,Little West St & 1 Pl
40.73555,-73.95284000000002,McGuinness Blvd & Eagle St
40.72906,-73.95779,Milton St & Franklin St
40.71745169,-73.95850939,N 6 St & Bedford Ave
40.71774592,-73.95600096,N 8 St & Driggs Ave
40.7172274,-73.98802084,Norfolk St & Broome St
40.70277159,-73.99383605,Old Fulton St
40.751873,-73.97770600000003,Pershing Square North
40.7277140777778,-74.01129573583603,Pier 40 - Hudson River Park
40.71907891179564,-73.94223690032959,Richardson St & N Henry St
40.777507027547976,-73.98888587951659,Riverside Blvd & W 67 St
40.71285887,-73.96590294,S 4 St & Wythe Ave
40.69231660719192,-74.01486575603484,Soissons Landing
40.711512,-74.01575600000002,South End Ave & Liberty St
40.70122128,-74.01234218,South St & Whitehall St
40.73492695,-73.99200509,University Pl & E 14 St
40.74232744,-73.95411749,Vernon Blvd & 50 Ave
40.7153379,-74.01658354,Vesey Pl & River Terrace
40.73935542,-73.99931783,W 15 St & 7 Ave
40.746745,-74.007756,W 20 St & 11 Ave
40.74238787,-73.99726235,W 20 St & 7 Ave
40.74345335,-74.00004031,W 20 St & 8 Ave
40.74173969,-73.99415556,W 21 St & 6 Ave
40.74691959,-74.00451887,W 22 St & 10 Ave
40.74475148,-73.99915362,W 22 St & 8 Ave
40.74734825,-73.99723551,W 26 St & 8 Ave
40.75018156325681,-74.00218427181244,W 27 St & 10 Ave
40.749156,-73.9916,W 31 St & 7 Ave
40.75019995,-73.99093085,W 33 St & 7 Ave
40.75640548,-73.9900262,W 41 St & 8 Ave
40.75756989999999,-73.99098507,W 42 St & 8 Ave
40.76227205,-73.98788205,W 49 St & 8 Ave
40.76669671,-73.99061728,W 53 St & 10 Ave
40.77163851,-73.98261428,W 63 St & Broadway
40.72903917,-73.99404649,Washington Pl & Broadway
40.739323,-74.008119,Washington St & Gansevoort St
40.6610633719006,-73.97945255041121,West Drive & Prospect Park West
40.71754834,-74.01322069,West St & Chambers St
40.70834698,-74.01713445,West Thames St
40.69196566,-73.9813018,Willoughby St & Fleet St
40.716887,-73.96319799999998,Wythe Ave & Metropolitan Ave
40.686931,-74.016966,Yankee Ferry Terminal
