,startstationid,startstationname
251,474.0,5 Ave & E 29 St
252,475.0,E 16 St & Irving Pl
253,476.0,E 31 St & 3 Ave
254,477.0,W 41 St & 8 Ave
255,478.0,11 Ave & W 41 St
256,479.0,9 Ave & W 45 St
257,480.0,W 53 St & 10 Ave
258,481.0,S 3 St & Bedford Ave
259,482.0,W 15 St & 7 Ave
260,483.0,E 12 St & 3 Ave
261,484.0,W 44 St & 5 Ave
262,485.0,W 37 St & 5 Ave
263,486.0,Broadway & W 29 St
264,487.0,E 20 St & FDR Drive
265,488.0,W 39 St & 9 Ave
266,489.0,10 Ave & W 28 St
267,490.0,8 Ave & W 33 St
268,491.0,E 24 St & Park Ave S
269,492.0,W 33 St & 7 Ave
270,493.0,W 45 St & 6 Ave
271,493.0,W 45 St & 6 Ave (1)
272,494.0,W 26 St & 8 Ave
273,495.0,W 47 St & 10 Ave
274,496.0,E 16 St & 5 Ave
275,497.0,E 17 St & Broadway
276,498.0,Broadway & W 32 St
277,499.0,Broadway & W 60 St
278,500.0,Broadway & W 51 St
279,501.0,FDR Drive & E 35 St
280,502.0,Henry St & Grand St
281,503.0,E 20 St & Park Ave
282,504.0,1 Ave & E 15 St
283,504.0,1 Ave & E 16 St
284,505.0,6 Ave & W 33 St
285,507.0,E 25 St & 2 Ave
286,508.0,W 46 St & 11 Ave
287,509.0,9 Ave & W 22 St
288,510.0,W 51 St & 6 Ave
289,511.0,E 14 St & Avenue B
290,512.0,W 29 St & 9 Ave
291,513.0,W 56 St & 10 Ave
292,514.0,12 Ave & W 40 St
293,515.0,W 43 St & 10 Ave
294,516.0,E 47 St & 1 Ave
295,517.0,Pershing Square South
296,518.0,E 39 St & 2 Ave
297,519.0,Pershing Square North
298,520.0,W 52 St & 5 Ave
299,521.0,8 Ave & W 31 St
300,521.0,8 Ave & W 31 St N
301,522.0,E 51 St & Lexington Ave
302,523.0,W 38 St & 8 Ave
303,524.0,W 43 St & 6 Ave
304,525.0,W 34 St & 11 Ave
305,526.0,E 33 St & 5 Ave
306,527.0,E 33 St & 2 Ave
307,528.0,2 Ave & E 31 St
308,529.0,W 42 St & 8 Ave
309,530.0,11 Ave & W 59 St
310,531.0,Forsyth St & Broome St
311,532.0,S 5 Pl & S 4 St
312,532.0,S 5 Pl & S 5 St
313,533.0,Broadway & W 38 St
314,533.0,Broadway & W 39 St
315,534.0,Water - Whitehall Plaza
316,536.0,1 Ave & E 30 St
